================================================================================
ENCRYPTED FIRMWARE DEEP ANALYSIS
Learning secrets from encrypted code WITHOUT decryption
================================================================================

================================================================================
SECTION 1: FIRMWARE STRUCTURE MAP
================================================================================

Even though the code is encrypted, the FIRMWARE STRUCTURE reveals
what ME does. Different modules have different encryption patterns
because they encrypt at different times with different IVs.

Offset   Size     Entropy  0x00%   0xFF%   Type                 Region
0x04FC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x050000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x050400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x050800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x050C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x051000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x051400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x051800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x051C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x052000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x052400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x052800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x052C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x053000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x053400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x053800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x053C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x054000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x054400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x054800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x054C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x055000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x055400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x055800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x055C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x056000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x056400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x056800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x056C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x057000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x057400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x057800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x057C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x058000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x058400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x058800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x058C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x059000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x059400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x059800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x059C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05A000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05A400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05A800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05AC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05B000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05B400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05B800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05BC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05C000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05C400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05C800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05CC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05D000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05D400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05D800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05DC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05E000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05E400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05E800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05EC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05F000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05F400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05F800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x05FC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x060000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x060400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x060800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x060C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x061000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x061400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x061800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x061C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ROMB/PMCP
0x062800    1024    1.287    3.5%   86.7%  CODE/DATA             FTPR_ENC
0x062C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FTPR_ENC
0x063800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FTPR_ENC
0x063C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FTPR_ENC
0x064000    1024    7.028    2.9%    0.4%  ENCRYPTED(v1)         FTPR_ENC
0x068000    1024    7.668    5.7%    0.6%  ENCRYPTED(v2)         FTPR_ENC
0x06C000    1024    7.733    0.4%    0.1%  ENCRYPTED(v2)         FTPR_ENC
0x070000    1024    7.798    0.6%    0.3%  ENCRYPTED(v2)         FTPR_ENC
0x074000    1024    7.792    0.5%    0.7%  ENCRYPTED(v2)         FTPR_ENC
0x076800    1024    2.732    2.5%   71.1%  CODE/DATA             FTPR_ENC
0x076C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FTPR_ENC
0x078000    1024    7.771    0.4%    0.6%  ENCRYPTED(v2)         FTPR_ENC
0x07C000    1024    7.777    2.1%    0.4%  ENCRYPTED(v2)         FTPR_ENC
0x080000    1024    7.782    1.0%    0.5%  ENCRYPTED(v2)         FTPR_ENC
0x084000    1024    7.626    5.3%    0.0%  ENCRYPTED(v2)         FTPR_ENC
0x088000    1024    7.664    0.4%    1.2%  ENCRYPTED(v2)         FTPR_ENC
0x08C000    1024    7.674    0.7%    0.2%  ENCRYPTED(v2)         FTPR_ENC
0x090000    1024    7.631    0.4%    0.5%  ENCRYPTED(v2)         FTPR_ENC
0x092800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FTPR_ENC
0x092C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FTPR_ENC
0x094000    1024    7.704    0.4%    0.4%  ENCRYPTED(v2)         FTPR_ENC
0x098000    1024    7.775    0.9%    0.7%  ENCRYPTED(v2)         FTPR_ENC
0x09C000    1024    7.786    0.9%    0.3%  ENCRYPTED(v2)         FTPR_ENC
0x0A0000    1024    7.747    0.6%    0.2%  ENCRYPTED(v2)         FTPR_ENC
0x0A4000    1024    7.659    4.7%    0.2%  ENCRYPTED(v2)         FTPR_ENC
0x0A8000    1024    7.787    0.5%    0.2%  ENCRYPTED(v2)         FTPR_ENC
0x0AC000    1024    7.740    0.5%    0.3%  ENCRYPTED(v2)         FTPR_ENC
0x0B0000    1024    7.739    2.9%    0.4%  ENCRYPTED(v2)         FTPR_ENC
0x0B4000    1024    7.737    0.3%    0.6%  ENCRYPTED(v2)         FTPR_ENC
0x0B8000    1024    7.699    1.9%    0.3%  ENCRYPTED(v2)         FTPR_ENC
0x0BC000    1024    7.772    2.0%    0.5%  ENCRYPTED(v2)         FTPR_ENC
0x0C0000    1024    7.724    0.6%    0.0%  ENCRYPTED(v2)         FTPR_ENC
0x0C4000    1024    7.737    0.3%    0.5%  ENCRYPTED(v2)         FTPR_ENC
0x0C8000    1024    7.585    4.6%    1.1%  ENCRYPTED(v2)         FTPR_ENC
0x0CBC00    1024    1.534    3.9%   82.0%  CODE/DATA             FTPR_ENC
0x0CC000    1024    3.751   48.1%    0.6%  CODE/DATA             FTPR_ENC
0x0CD800    1024    1.177   86.6%    0.0%  CODE/DATA             FTPR_ENC
0x0CDC00    1024    0.000  100.0%    0.0%  EMPTY/ERASED          FTPR_ENC
0x0CE000    1024    0.045   99.6%    0.0%  EMPTY/ERASED          FTPR_ENC
0x0CE400    1024    0.000  100.0%    0.0%  EMPTY/ERASED          FTPR_ENC
0x0CE800    1024    0.000  100.0%    0.0%  EMPTY/ERASED          FTPR_ENC
0x0CEC00    1024    0.000  100.0%    0.0%  EMPTY/ERASED          FTPR_ENC
0x0CF000    1024    1.080   81.9%    0.0%  CODE/DATA             FTPR_ENC
0x0CF400    1024    2.550   66.5%    4.3%  CODE/DATA             FTPR_ENC
0x0CF800    1024    1.074   86.7%    1.3%  CODE/DATA             FTPR_ENC
0x0CFC00    1024    0.790   91.0%    0.0%  EMPTY/ERASED          FTPR_ENC
0x0D0000    1024    0.000  100.0%    0.0%  EMPTY/ERASED          FTPR_ENC
0x0D0400    1024    0.000  100.0%    0.0%  EMPTY/ERASED          FTPR_ENC
0x0D0800    1024    0.954   37.4%   62.6%  EMPTY/ERASED          FTPR_ENC
0x0D0C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FTPR_ENC
0x0D3C00    1024    2.396    2.8%   73.6%  CODE/DATA             FTPR_ENC
0x0D4000    1024    7.636    3.5%    0.4%  ENCRYPTED(v2)         FTPR_ENC
0x0D8000    1024    7.792    0.8%    0.0%  ENCRYPTED(v2)         FTPR_ENC
0x0DC000    1024    7.722    2.6%    0.3%  ENCRYPTED(v2)         FTPR_ENC
0x0E0000    1024    7.704    1.0%    0.8%  ENCRYPTED(v2)         FTPR_ENC
0x0E4000    1024    3.970    1.1%   53.6%  CODE/DATA             FTPR_ENC
0x0E4400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FTPR_ENC
0x0E4800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FTPR_ENC
0x0E4C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FTPR_ENC
0x0E7800    1024    1.991    2.8%   73.5%  CODE/DATA             FTPR_ENC
0x0E7C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FTPR_ENC
0x0E8000    1024    7.761    1.1%    0.4%  ENCRYPTED(v2)         FTPR_ENC
0x0EC000    1024    7.705    0.3%    0.5%  ENCRYPTED(v2)         FTPR_ENC
0x0EE400    1024    0.671    2.5%   93.0%  EMPTY/ERASED          FTPR_ENC
0x0EE800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FTPR_ENC
0x0EEC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FTPR_ENC
0x0EFC00    1024    1.665    1.8%   74.2%  CODE/DATA             FTPR_ENC
0x0F0000    1024    7.783    1.6%    0.3%  ENCRYPTED(v2)         FTPR_ENC
0x0F2000    1024    1.267    0.2%   88.4%  CODE/DATA             FTPR_ENC
0x0F2400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FTPR_ENC
0x0F2800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FTPR_ENC
0x0F2C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FTPR_ENC
0x0F4000    1024    7.798    0.7%    0.2%  ENCRYPTED(v2)         FTPR_ENC
0x0F8000    1024    7.720    1.5%    0.1%  ENCRYPTED(v2)         FTPR_ENC
0x0FC000    1024    7.746    0.6%    0.1%  ENCRYPTED(v2)         FTPR_ENC
0x100000    1024    7.739    0.5%    0.1%  ENCRYPTED(v2)         FTPR_ENC
0x104000    1024    7.771    0.9%    0.0%  ENCRYPTED(v2)         FTPR_ENC
0x108000    1024    7.716    0.1%    0.2%  ENCRYPTED(v2)         FTPR_ENC
0x10C000    1024    7.676    1.3%    0.2%  ENCRYPTED(v2)         FTPR_ENC
0x110000    1024    7.654    2.9%    0.4%  ENCRYPTED(v2)         FTPR_ENC
0x114000    1024    7.263    2.4%    0.0%  ENCRYPTED(v1)         FTPR_ENC
0x118000    1024    7.703    0.6%    1.0%  ENCRYPTED(v2)         FTPR_ENC
0x11C000    1024    7.757    0.6%    0.2%  ENCRYPTED(v2)         FTPR_ENC
0x11E800    1024    1.897    4.6%   79.6%  CODE/DATA             FTPR_ENC
0x11EC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          FTPR_ENC
0x120000    1024    7.788    0.4%    0.6%  ENCRYPTED(v2)         FTPR_ENC
0x124000    1024    7.604    5.9%    0.6%  ENCRYPTED(v2)         FTPR_ENC
0x128000    1024    7.749    1.0%    0.3%  ENCRYPTED(v2)         FTPR_ENC
0x12C000    1024    7.721    0.4%    0.4%  ENCRYPTED(v2)         FTPR_ENC
0x130000    1024    7.452    2.6%    6.2%  ENCRYPTED(v1)         FTPR_ENC
0x134000    1024    7.765    0.6%    0.6%  ENCRYPTED(v2)         FTPR_ENC
0x138000    1024    7.771    0.6%    0.1%  ENCRYPTED(v2)         ARC_BOOT
0x13C000    1024    7.756    0.4%    0.1%  ENCRYPTED(v2)         ARC_BOOT
0x140000    1024    7.765    0.2%    0.7%  ENCRYPTED(v2)         ARC_BOOT
0x144000    1024    7.743    0.7%    0.4%  ENCRYPTED(v2)         ARC_BOOT
0x148000    1024    7.647    3.7%    0.4%  ENCRYPTED(v2)         ARC_BOOT
0x14C000    1024    7.629    2.5%    0.2%  ENCRYPTED(v2)         ARC_BOOT
0x150000    1024    7.739    2.0%    0.0%  ENCRYPTED(v2)         ARC_BOOT
0x154000    1024    7.769    0.5%    0.3%  ENCRYPTED(v2)         ARC_BOOT
0x158000    1024    7.767    0.6%    0.1%  ENCRYPTED(v2)         ARC_BOOT
0x15C000    1024    7.786    0.5%    0.6%  ENCRYPTED(v2)         ARC_BOOT
0x160000    1024    7.698    0.2%    0.3%  ENCRYPTED(v2)         ARC_BOOT
0x164000    1024    7.742    1.1%    0.1%  ENCRYPTED(v2)         ARC_BOOT
0x168000    1024    7.748    0.6%    0.0%  ENCRYPTED(v2)         ARC_BOOT
0x16B400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x16B800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x16BC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x16C000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x16C400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x16C800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x16CC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x16D000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x16D400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x16D800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x16DC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x16E000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x16E400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x16E800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x16EC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x16F000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x16F400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x16F800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x16FC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x170000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x170400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x170800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x170C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x171000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x171400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x171800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x171C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x172000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x172400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x172800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x172C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x173000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x173400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x173800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x173C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x174000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x174400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x174800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x174C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x175000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x175400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x175800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x175C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
